date,no,lat,lon,num
2023/4/10,1,N16,E68,1
,2,N7,E19~26,6
,3,S20~27,E24~37,13
2023/4/11,1,S8~12,E18~24,8
,2,N7~8,W3~5,6
,3,N11~12,W2~3,3
,4,N50~52,E33~35,2
,5,N16~17,E67~75,3
2023/4/12,1,N8~9,E3~W4,7
,2,S21~27,E10~W3,19
,3,S34,E54~56,2
,4,S33~34,E66~80,4
,5,N10,E46,1
2023/4/13,1,N18,E33,1
,2,N7,W18,1
,3,S11,W20,1
,4,S8~13,W13~15,3
,5,S21~23,W6~11,4
,6,S23~25,W3,2
,7,S25,E45,1
,8,S22,E56,1
,9,S23,E70,1
,10,S24,E75,1
2023/4/20,1,S13~14,E38~46,2
,2,N9~13,W13~30,7
,3,S25~26,E3~6,2
,4,S22~27,W8~28,3
2023/7/21,1,N13~18,E48~62,7
,2,S9~10,E27~32,5
,3,S27~29,W5~2,5
,4,N18~23,W1~2,3
,5,N19~22,W33~34,14
,6,N12~13,W46,4
,7,N1~7,W12~25,2
2023/7/31,1,S19,W24,1
,2,S4,W35,1
,3,N29,E65,1
,4,N23~26,E26~28,4
,5,N12~15,W4~11,4
,6,S11~14,W23~27,10
2023/8/3,1,S42,E69,1
,2,S16,W26,1
,3,N6~8,W63~73,5
,4,N21~24,E24~33,4
,5,N24~26,W2~4,3
,6,N16~17,E3~6,2
,7,N13,E29,1
,8,N1~3,E17~24,4
2023/10/16,1,N13~14,E10~11,2
,2,N0~3,W8~12,3
2023/8/1,1,S14~18,W37~44,9
,2,S24,E8,2
,3,S17~19,E30~33,2
,4,S8~9,E18~20,3
,5,N11~12,E42~50,5
,6,N25,E46,1
,7,N18~24,E13~21,6
,8,N6~14,W4~14,11
2023/8/2,1,S21,W19,1
,2,N16~19,W49~59,5
,3,N21~23,W6~15,3
,4,N16,E12~14,2
,5,N1~2,E41~43,3
,6,S8~14,E29~38,8
2023/8/5,1,S24~25,E40~42,1
,2,S60,E7,1
,3,S20,W49,1
,4,N13~16,W66~72,5
,5,N24,W41,1
,6,N23,W4,1
,7,N8~11,W8~14,6
,8,N16~20,E66~68,2
,9,N7~11,E55~63,4
2023/8/8,1,S24~28,E4,2
,2,N13,E44,1
,3,N9~11,E19~26,5
,4,N25,W28,1
,5,N13,W50,1
,6,N22~28,W70~75,3
2023/8/10,1,S16,E36,1
,2,N19,E21,1
,3,N12~14,W1~6,8
,4,S23~25,W15~18,5
,5,N10,W74,1
,6,N22~23,W63,2
2023/8/11,1,S18,E22,1
,2,S16,E8,1
,3,N17~19,E5~8,2
,4,N11~15,W17~23,9
,5,N20,W69,1
,6,S24~28,W29~32,4
2023/8/12,1,N10~15,W31~35,6
,2,N13~17,W4~10,5
,3,N20,E69,1
,4,S25,W46~48,1
2023/10/7,1,N6~7,E59~64,2
,2,S11~13,E37~38,2
,3,S11~17,E3~W2,4
,4,S19~20,W58,2
,5,N12~14,W72~76,3
,6,N9~20,W14~28,16
2023/10/11,1,N12~13,W80,1
,2,S17~18,W78,1
,3,S15,W13~14,1
,4,S14~17,W4~7,3
,5,N6~7,E13~15,3
,6,N13~16,E29~33,5
,7,S21~23,E42~46,5
,8,N2~S1,E53~57,2
,9,N7~10,E74~76,2
2023/10/12,1,S8~11,W25~27,3
,2,S10~11,W6~7,2
,3,N15,W6,1
,4,N9~13,E0~7,5
,5,N19~21,E20~26,4
,6,S16~19,E31~38,6
,7,N3~6,E44~50,5
,8,N11~12,E66~70,1
2023/10/13,1,N3~4,E51~53,4
,2,N1~S2,E28~34,8
,3,S20~23,E14~19,5
,4,S9~11,W33~41,5
,5,N7~10,W7~14,3
,6,N16,E13,1
2023/4/16,1,10,-62,1
,2,18,3,1
,3,2~-4,29~41,5
,4,-23~-25,-3~-4,2
,5,-25,8~15,2
,6,-32~-39,20~35,8
2023/2/6,1,N26~27,E41~46,2
,2,S21,W29~33,2
,3,S23,W9,1
,4,S34~37,W12~14,2
2023/1/31,1,S22,W69,1
,2,N28,W68,1
,3,N24,W24,1
,4,S21,E37,1
,5,S11,E64,1
2023/1/25,1,N36,W69,1
,2,N59,W41,1
,3,N38~42,W4~6,3
,4,N37,E6,1
,5,N25,E17,1
,6,S3~5,E37,1
,7,S15,E50,1
2023/10/18,1,N4~5,W38~39,3
,2,N13~14,W12~16,3
,3,S8,E53,1
