date,no,lat,lon,num
2016/4/12,1,N9,E20~28,2
,2,N13,W15,1
2016/4/14,1,N12,W7,1
,2,N11~14,W1~E3,4
2016/2/4,1,N17,E40~43,2
,2,N3~6,E19~27,2
,3,S8,E15~20,2
2016/8/1,0,,,
2016/8/4,0,,,
2016/8/5,1,N13~14,W33~37,2
2016/8/6,1,N12~14,E5~8,3
,2,N13~15,W47~52,2
2016/8/7,1,N13~15,W5~9,3
,2,N7~9,W57~64,2
2016/8/8,1,N12~14,W17~22,2
2016/8/9,1,N12,W35,1
,2,N3~6,E60~63,2
,3,N15,E62,1
,4,S13,E77,1
2016/8/10,1,N12~13,W40~47,2
,2,N1~4,E43~46,2
,3,S15,E55,1
2016/8/11,1,N4~9,E34~37,3
,2,S12,E50,1
,3,N12,W60,1
2016/8/12,1,N2,E32,1
,2,S15,E33,1
,3,N2~5,E19~23,2
2016/10/7,0,,,
2016/10/8,1,N14,W11,1
,2,S15,E20,1
,3,N11,E63,1
2016/10/15,1,S11,E34,1
