date,no,lat,lon,num
2023/5/30,1,N19~29,W32~69,6
,2,N13,E71,1
,3,S18,31~40,2
,4,S18,W0~8,5
,5,S14,E79,1
2023/5/27,1,8,29,1
,2,-16~-20,8~-1,11
,3,-22,-43,1
,4,16~20,-16~-28,4
,5,11~14,-36~-45,7
2023/5/31,1,20~30,-50~-70,5
,2,-13~-15,-50~-65,6
,3,-14~-17,-19~-28,11
,4,32~34,52,2
,5,13,49~54,2
,6,-6~-7,63,2
,7,-8,53,2
2023/6/1,1,-21,50,1
,2,-13,64~73,3
,3,4,40,1
,4,-19~-21,-28~-38,2
,5,-16~-18,-64~-78,2
2023/6/18,1,S12~14,W2~11,6
,2,S14~17,E16~26,6
,3,S22,E29,1
,4,S20,E70,1
,5,N9~10,E38~47,2
,6,N21~23,E69~70,2
2023/6/17,1,N1~3,E40~50,2
,2,S10~15,W10~E5,7
,3,20~23,E15~35,10
,4,S28~30,E28~35,2
2023/5/25,1,S19~20,E24~30,2
,2,S24,W2,1
,3,S13~18,W16~21,4
,4,N15~21,W18~E10,10
