date,no,lat,lon,num
2023/5/17,1,S25,E80,1
,2,S11,E13,1
,3,N13,W2~4,2
,4,N10~15,W14~26,14
,5,S15~16,W43~46,2
2023/5/18,1,S17~20,E69~74,5
,2,S9~11,E3~4,3
,3,N10~11,W15~19,3
,4,N7~15,W29~40,9
,5,S23,W55,1
2023/5/24,1,S17~19,E37~42,6
,2,S23~24,E9~11,3
,3,S26~29,E8~12,4
,4,S20~23,W8~13,4
,5,N13~22,E18~W11,18
2023/6/19,1,S23,E54,1
,2,N8~10,E25~36,6
,3,S15,E10~13,2
,4,S15~16,E0~5,5
,5,S10~12,W14~18,4
,6,S8,W25,1
,7,N17~20,E55~61,4
2023/6/26,1,S32,E23,1
,2,N13~23,E27~38,7
,3,S16,W8,1
,4,N8,W11,1
,5,S19,W40,1
,6,N22~23,W28~38,14
,7,N21,W63,1
