date,no,lat,lon,num
2016/2/10,1,N11~14,E12~22,6
,2,S11,W60,1
2016/2/16,1,N3,E60,1
,2,N10~12,W62~70,3
2016/2/17,1,N3,E45,1
2016/2/19,1,N4,E18,1
2016/2/24,1,N3,W45,1
,2,N7,W70,1
2016/3/1,1,N8,E12~17,2
,2,N6,W9,1
,3,S7~8,W18~25,2
2016/3/2,1,S8~9,W29~36,3
2016/3/3,1,S7~8,W52,1
,2,N11~12,E22~24,3
,3,S7~8,W52,3
2016/3/4,1,N13,E58,1
,2,N11~13,W4~E7,2
,3,S7~8,W64,1
2016/3/16,1,S10,E65,1
,2,S20,E50,1
2016/3/17,1,N19,E70,1
,2,N15,E14,1
,3,N8,W23,1
2016/3/19,1,S14,E14,1
2016/3/22,1,N14,E13,1
,2,N14,E3,1
2016/3/24,1,N19,W11,1
,2,N19,W22,1
2016/3/25,1,S9,E74,1
,2,N15,W23,1
,3,N16,W34,1
2016/3/28,1,S5~7,E32,2
,2,N14,W70~75,2
2016/3/29,1,N1~S1,E13~14,2
2016/8/15,1,0~N6,E10~22,4
,2,S15,E24,1
2016/8/26,1,S18,W25,2
2016/8/28,1,N10~12,E3,1
,2,N6~7,W36~41,2
2016/8/31,1,N11,E77,1
,2,N13,W38,1
,3,N12~13,W75~79,2
2016/9/1,1,N6~9,E58~60,2
,2,N13,W55,1
2016/9/2,1,N7~9,E48~56,6
,2,N11,W68,1
2016/9/15,0,,,
2016/9/25,0,,,
2016/9/30,0,,,
