no,lat,lon,first,last
N2044,/,/,2,6
N2046,/,/,2,2
N2047,/,/,2,8
N2049,/,/,2,3
N2050,/,/,2,7
N2051,21,115,2,2
N2052,10~13,66~76,2,11
N2053,20,27,5,11
N2054,22,34,8,8
N2055,19~20,13~16,8,8
N2056,15~22,328~340,11,18
N2057,19,9~11,12,12
N2058,25,292,12,13
N2059,3,233,16,18
N2060,19,273,18,18
N2061,27~28,247~280,21,23
N2062,7~15,154~175,21,29
N2063,16,254,24,26
N2064,9~11,218~222,24,28
N2065,10~14,118~126,24,29
N2066,21~22,199~200,27,28
S1383,/,/,2,4
S1385,/,/,2,2
S1386,/,/,2,3
S1387,/,/,2,11
S1388,/,/,2,7
S1389,18~21,102~111,2,8
S1390,24,160,3,3
S1391,30~32,79~83,3,3
S1392,14~16,325~327,11,18
S1393,23~25,296~303,16,18
S1394,20,288?,16,16
S1395,8,224,17,18
S1396,13,221,17,18
S1397,20~31,207~212,17,23
S1398,15,293~297,21,21
S1399,17,187,21,21
S1400,23~30,143~154,23,29
S1401,26,212,26,26
S1402,19,157,26,26
S1403,21~23,61~64,28,29
S1404,32~33,182~187,29,29
S1405,23~27,40~49,29,29
