no,ns,lat
259,S,13~15
260,S,8~11
261,S,18~20
262,S,8~9
263,S,18~22
264,S,16~18
265,S,10~12
266,S,24~25
267,S,15~17
268,S,13~15
269,S,24
285,N,5
286,N,19
270,S,6
287,N,17
271,S,21~23
288,N,18~24
289,N,14~17
290,N,27
291,N,22
273,S,11~12
292,N,45
293,N,25
274,S,18
275,S,13
276,S,21~23
296,N,30
297,N,32
298,N,25
277,S,18~20
299,N,34
300,N,17~21
301,N,22
279,S,14
302,N,23~25
