no,lat,lon,first,last
N1932,/,/,1,4
N1933,/,/,1,4
N1936,/,/,1,6
N1937,/,/,1,6
N1938,/,/,1,8
N1939,18~22,293~304,4,16
N1940,17,347~351,5,10
N1941,25~30,268~278,6,10
N1942,19,317,7,8
N1943,12,273,8,9
N1944,24~27,327~337?,12,13
N1945,23~25,245~252,15,19
N1946,18~20,218~225,16,19
N1947,8~11,200~211,17,22
N1948,33,250~255,18,19
N1949,22~28,84~94,19,31
N1950,24~28,94~101,22,27
N1951,14,99,22,22
N1952,12~15,80~87,22,31
N1953,15~18,70~87,22,31
N1954,30,83,24,25
N1955,14,92~98,26,27
N1956,23~28,318~328,28,31
N1957,26,37,31,31
N1958,15~17,292~304,31,31
S1305,/,/,1,3
S1306,27~25,25~32,2,9
S1307,16~22,263~272,6,18
S1308,14~15,269~252,8,19
S1309,17~18,328~331,10,12
S1310,15,243,10,15
S1311,37~30,167~170,15,26
S1312,28?,114?,19,19
S1313,16~20,78~87,24,31
S1314,30,20,27,27
S1315,20,18,28,28
S1316,26~27,337~338,28,31
S1317,18~19,32~37,30,31
S1318,25~26,351~356,30,31
S1319,17~20,326~334,31,31
