no,lat,lon,first,last
N2348,/,/,1,6
N2349,10~14,117~123,2,10
N2350,13~15,103~104,4,13
N2351,5~8,103~105,4,15
N2352,6~11,109~119,5,14
N2353,8~13,82~95,5,16
N2354,11~19,67~78,5,16
N2355,8,194~196,6,6
N2356,4,121,7,7
N2357,10,105,7,7
N2358,4~8,92~99,7,11
N2359,12~18,25~31,13,16
N2360,8~9,349~355,13,20
N2361,8~13,322~330,13,25
N2362,21~22,22~27,16,20
N2363,5~10,319~329,20,25
N2364,3,322~324,20,20
N2365,7~9,310~315,20,20
N2366,3,297,24,24
N2367,10,249,24,24
N2368,5~7,238~242,24,28
N2369,20,218,28,28
N2370,11~15,209~213,28,30
S1630,/,/,1,7
S1631,10~12,193~197,1,5
S1632,10~12,153~154,4,6
S1633,12~18,82~96,4,16
S1634,9~11,146~149,6,7
S1635,14~17,108~114,6,9
S1636,11~12,167~171,7,7
S1637,12~13,105~109,10,14
S1638,20,84~87,11,11
S1639,14,348,13,16
S1640,16~19,345~352,14,16
S1641,16,323~324,14,25
S1642,10~11,323~326,16,16
S1643,22,321~324,24,25
S1644,9~13,168~179,25,30
