No,lat,lon,first,last
N2245,/,/,2,2
N2246,/,/,2,2
N2247,/,/,2,7
N2248,/,/,2,7
N2249,/,/,2,4
N2250,19~24,301~310,3,15
N2251,1~4,290~302,6,15
N2252,17~20,275~278,6,16
N2253,27,302~304,9,9
N2254,9~11,255~263,14,18
N2255,9~14,136~151,14,26
N2256,9,237,15,15
N2257,21~23,126~136,17,23
N2258,16~18,101~105,18,28
N2259,12,130~133,22,27
N2260,15,108~109,22,23
N2261,6~10,78~90,23,28
N2262,22,98~100,24,24
N2263,15~17,40~45,26,28
N2264,12,61,27,27
N2265,33~35?,332~347?,27,28
S1558,/,/,2,3
S1562,/,/,2,3
S1563,30~32,279~284,4,13
S1564,7~10,275~293,4,16
S1565,12~18,248~259,6,18
S1566,15~16,175~176,13,24
S1567,17~18,132~137,17,22
