no,lat,lon,first,last
N3012,/,/,1,11
N3013,17~20,197~200,3,4
N3014,11~15,108~122,3,13
N3015,12,34,9,12
N3016,9~14,312~317,14,25
N3017,3,321,19,19
N3018,17~18,283~284,21,21
N3019,9,248,21,23
N3020,10,237~243,23,28
N3021,5,156,30,31
N3022,2,131~132,30,30
S2339,/,/,1,1
S2341,/,/,1,5
S2342,15,174~175,3,5
S2343,17~18,61~63,5,16
S2344,10~11,173~174,6,6
S2345,13~15,18~22,9,14
S2346,9,23,13,13
S2347,17~18,5~12,19,20
S2348,11~14,322~328,19,25
S2349,13~15,260~263,23,23
S2350,10,210,25,26
