no,lat
N65,20
N66,13
N67,7
N68,0
N69,4
N70,15~18
N71,9
N72,4
N73,7
N74,9
N75,12
N76,16
N77,10~16
S59,6
S60,11
S61,2
S62,16
S63,3
S64,16
S65,11
