no,lat,lon,first,last
N2301,/,/,1,5
N2302,/,/,1,2
N2303,/,/,1,8
N2306,/,/,1,9
N2307,30,305,1,2
N2308,9,298,1,3
N2309,20~23,243~250,2,5
N2310,11,263,3,3
N2311,7~13,191~199,5,14
N2312,7,152~156,9,9
N2313,14~15,105~106,10,18
N2314,9~12,84~88,11,22
N2315,5~9,84~91,12,21
N2316,13,176~179,13,13
N2317,19~22,81~88,13,22
N2318,19~22,54~61,14,24
N2319,22~13,37~42,18,21
N2320,15,86,20,20
N2321,2,7,20,20
N2322,7~9,333~341,23,30
N2323,9~13,289~299,24,30
N2324,5~9,271~278,24,30
N2325,18~19,223~231,26,30
N2326,7~9,197~199,30,30
S1600,/,/,1,1
S1602,/,/,1,3
S1603,11,340,1,1
S1604,13~16,305~307,1,1
S1605,17~20,182~189,5,14
S1606,11~14,172~177,8,11
S1607,13~16,118~127,9,19
S1608,5~12,107~116,9,21
S1609,15~16,61~62,13,24
S1610,13~15,85~95,18,22
S1611,18~21,59~62,18,21
S1612,10~13,39~49,20,24
