no,lat,lon,first,last
N2917,/,/,1,2
N2920,8,107,3,5
N2921,15~20,87~97,6,12
N2922,9,103,7,7
N2923,5~7,88~93,7,11
N2924,6~7,32~33,10,12
N2925,13~14,79~83,11,12
N2926,12~13,2~8,16,17
N2927,10,323,16,16
N2928,7,308~310,16,18
N2929,12~16,295~300,16,26
N2930,13,346,17,18
N2931,6~10,158~167,24,31
N2932,17~16,132~134,28,31
N2933,14,94~97,31,31
S2218,5~7,126~129,1,7
S2219,19,226,2,2
S2220,12~18,90~98,3,12
S2221,2,110,7,7
S2222,5~9,5~16,10,18
S2223,2~5,325~337,12,23
S2224,9,322,16,18
S2225,9~16,291~303,16,26
S2226,10~12,343~344,18,18
S2227,19~20,280~286,22,26
S2228,7,303,23,23
S2229,2,148,28,28
S2230,6~8,190~193,29,29
S2231,14,155~157,31,31
S2232,11~12,97~99,31,31
S2233,13~17,87~92,31,31
