no,ns,lat
1674,N,28~29
1675,N,20~22
1676,S,3~5
1677,S,8~12
1678,S,9~12
1679,S,2
1680,N,9~16
1681,N,14
1682,N,20
1683,N,20~25
1684,S,2~3
1685,N,10~14
1686,N,16~21
1687,N,19~20
1688,N,6~12
1689,S,10
1690,S,8~12
1691,S,6
1692,N,8~16
1693,N,35
1694,N,20
1695,N,2
1696,N,20
1697,N,17~22
1698,N,4~5
1699,S,11
1700,S,6
1701,S,8~9
1702,N,13~15
1703,N,2
1704,S,4
1705,N,13~15
1706,N,20~22
1708,S,25
