no,lat,lon,first,last
N2610,/,/,1,2
N2611,/,/,1,2
N2616,11~15,292~298,1,8
N2617,15,257,2,9
N2618,15~20,229~244,5,13
N2619,17,225,6,6
N2620,17~21,195~204,8,19
N2621,19~21,205~209,10,16
N2622,4~10,91~103,16,26
N2623,12,51~55,17,21
N2624,0,98,19,19
N2625,17~22,67~76,19,27
N2626,4~5,29~30,19,30
N2627,17~19,37~44,20,30
N2628,12,35,24,26
N2629,10~13,354~1,24,30
N2630,10,342~347,24,24
N2631,11~13,313~323,24,30
N2632,8,35,25,25
N2633,12~13,327~330,27,30
N2634,5,55,28,28
N2635,9~10,343~345,28,29
N2636,18~21,265~274,28,30
N2637,7,10,30,30
N2638,25,2,30,30
N2639,14~20,236~249,30,30
S1908,/,/,1,5
S1909,/,/,1,6
S1910,6~9,244~251,8,13
S1911,9~11,175~185,13,20
S1912,10~11,109~117,13,20
S1913,10~11,169~171,16,16
S1914,15~18,148~156,16,21
S1915,15~16,159~164,19,20
S1916,5~7,78~85,19,26
S1917,6,52,19,19
S1918,7~8,336~342,24,30
S1919,9~11,336~342,25,30
S1920,20~24,13~16,29,30
S1921,5~6,260~267,29,30
