no,lat,lon,first,last
N8607,8~11,173~180,aug.4,aug.7
N8608,10~15,127~135,aug.7,aug.15
N8609,12~15,51~61,aug.11,aug.22
N8610,16~17,19~30,aug.15,aug.23
N8611,9~11,343~347,aug.18,aug.27
N8612,6~8,321~330,aug.20,aug.27
N8613,9~11,278~286,aug.22,sep.2
S8581,17~19,205~217,aug.1,aug.7
S8582,10,227,aug.4,aug.4
S8583,3~6,220~221,aug.4,aug.5
S8584,23,205,aug.4,aug.7
S8585,16,162,aug.1,aug.1
S8586,15~18,100~109,aug.15,aug.18
S8587,3~5,29~34,aug.18,aug.23
S8588,9,334,aug.18,aug.23
S8589,12~13,265~266,aug.23,sep.2
S8590,6~7,253~254,aug.27,sep.2
S8591,14~17,201~212,aug.29,sep.7
