no,lat
N41,8
N42,11
N43,0
N44,0~3
N45,6
N46,20
N47,9~11
N48,10~13
N49,3~5
N50,11~13
N51,10~11
S44,3~7
S45,18
S46,8~12
S47,5
S48,7
S49,10~12
S50,5~6
S51,15
