no,ns,lat
366,N,12~15
380,S,23~25
381,S,26
382,S,4
383,S,14
384,S,13~18
367,N,10~12
368,N,13~16
369,N,32~39
385,S,20
386,S,15~19
387,S,18~21
388,S,14~17
389,S,34
390,S,9
391,S,36~40
392,S,13
370,N,30
371,N,13~21
372,N,24~30
373,N,20
393,S,16~20
374,N,47
375,N,10
376,N,22
377,N,10
