no,lat,lon,first,last
N3324,/,/,2,7
N3325,18~19,259~260,2,2
N3326,14~16,287~291,4,4
N3327,15~17,223~228,5,7
N3328,22~24,87~91,9,14
N3329,0~2,161~157,10,11
N3330,14~17,47~48,12,19
N3331,13,36~39,18,18
N3332,20~22,319~329,18,29
N3333,23,109,19,19
N3334,18,18~20,19,19
N3335,13~14,31~33,21,22
N3336,15,255,24,26
N3337,19~20,248~253,26,29
N3338,19~22,232~242,27,29
S2647,/,/,1,12
S2648,26~27,188,6,12
S2649,24~29,125~144,7,14
S2650,17~18,223~225,7,7
S2651,17,188~193,9,12
S2652,1,159,10,10
S2653,22,72,10,13
S2654,22~24,57~61,18,20
S2655,25~28,352~360,21,27
S2656,26,3,22,22
S2657,28,293,27,27
S2658,18~20,201~207,27,29
S2659,21,237,29,29
S2660,16~21,175~183,29,29
