No,lat,lon,first,last
N2440,/,/,1,1
N2443,/,/,1,3
N2444,/,/,1,3
N2445,/,/,1,6
N2446,10,339,2,2
N2447,9~12,258~263,2,6
N2448,23,327,3,3
N2449,19~20,325,3,3
N2450,15~16,291~294,3,6
N2451,20,321,6,6
N2452,2~3,288~291,6,6
N2453,8,222~228,6,14
N2454,19~24,222~229,6,16
N2455,19~24,211~216,6,13
N2456,18~21,262~270,10,13
N2457,20,233,11,11
N2458,14~18,229~233,11,16
N2459,13~15,141~145,13,16
N2460,3~17,70~90,15,28
N2461,11,67,19,23
N2462,18,151,21,21
N2463,10~14,40~52,21,29
N2464,5,70,23,23
N2465,24,53~56,25,28
N2466,12,318~325,27,31
N2467,18~23,313~322,28,31
N2468,14~16,33,29,29
S1711,/,/,1,3
S1713,/,/,1,2
S1716,/,/,1,1
S1717,/,/,1,3
S1718,-14,359,1,1
S1719,17,278~280,6,6
S1720,19,172,10,11
S1721,16~17,163~169,10,14
S1722,20~21,183~186,16,19
S1723,12,39,19,21
S1724,12~13,113~114,21,21
S1725,15,353,23,23
S1726,2~3,342~343,23,30
S1727,13~17,315~321,25,30
S1728,13,75~78,26,26
S1729,15~18,302~305,26,30
S1730,20~21,344~347,27,29
S1731,7~8,346~347,28,29
S1732,18~19,279~283,28,30
S1733,14~15,343~345,29,30
S1734,5,341,29,29
S1735,18,288~290,29,30
