no,lat,lon,first,last
N2812,/,/,1,5
N2814,/,/,1,2
N2815,/,/,1,2
N2816,10~12,146~150,8,10
N2817,12~14,118~127,8,13
N2818,21,40~43,11,14
N2819,12~14,354~355,11,18
N2820,14,37~41,13,16
N2821,13~14,316~318,14,27
N2822,14~17,343~345,15,19
N2823,16~17,294,16,19
N2824,9,356,19,19
N2825,11~14,286~290,26,27
S2074,/,/,1,2
S2075,/,/,1,1
S2076,/,/,1,5
S2077,/,/,1,1
S2079,/,/,1,5
S2080,6,134~137,2,5
S2081,6~12,88~101,4,15
S2082,10,77~80,8,10
S2083,13~15,12~19,15,19
S2084,3,5,16,16
S2085,7~16,259~277,18,29
S2086,3~6,231~235,25,29
S2087,12,225,26,26
