no,lat,lon,first,last
N2737,/,/,1,8
N2739,/,/,1,3
N2740,23~25,45~52,5,9
N2741,18,297,6,14
N2742,7~8,346~347,7,7
N2743,13~15,329~347,8,14
N2744,13~15,329~333,12,21
N2745,18~20,221~224,12,24
N2746,13~16,213~215,3,20
N2747,20~21,264~271,20,22
N2748,8,228~234,22,22
N2749,5~6,186,24,26
N2750,5~8,148~145,24,28
N2751,22~25,70~75,25,28
N2752,6~10,30~36,26,28
N2753,3,112~116,28,28
S1987,/,/,1,5
S1989,22,30,1,3
S1990,5~8,10~14,1,12
S1991,10~11,17~18,3,3
S1992,36,338,7,7
S1993,21,350,10,11
S1994,22,8,11,11
S1995,9,305,11,11
S1996,14,348~352,12,13
S1997,12~13,201~202,13,25
S1998,10,229,16,16
S1999,12~14,183~190,16,25
S2000,15~20,135~149,18,28
S2001,6~9,123~130,19,28
S2002,9~10,107~108,20,28
