No,lat,lon,first,last
N2672,/,/,1,3
N2673,/,/,1,4
N2674,/,/,1,3
N2678,/,/,1,3
N2679,/,/,1,1
N2680,/,/,1,4
N2681,/,/,1,10
N2682,6,129~132,6,8
N2683,17~18,125~126,6,8
N2684,13~16,47~51,8,13
N2685,15~16,148~153,9,12
N2686,12~19,25~41,10,21
N2687,6~11,352~359,11,22
N2688,8,51,12,12
N2689,0~7,335~347,13,25
N2690,14~15,354~7,16,23
N2691,7~10,340~346,18,24
N2692,2~3,270~271,18,25
N2693,9~10,260~268,21,28
N2694,14~17,240~246,21,30
N2695,10~11,344~346,22,23
N2696,7~9,309~313,22,25
N2697,14,299,22,22
N2698,16,267,22,23
N2699,12~13,246~215,25,30
N2700,13~16,148~157,28,30
N2701,20~22,135~143,28,28
N2702,5~7,242~245,30,30
N2703,5,132~137,30,30
S1946,/,/,1,8
S1947,/,/,1,1
S1948,8~13,118~130,2,10
S1949,8~9,208~209,3,3
S1950,25~28,180~184,3,8
S1951,14~17,118~125,4,11
S1952,6~7,147~156,6,11
S1953,8~11,174~177,7,8
S1954,7~10,83~86,10,10
S1955,11~12,49~56,11,13
S1956,8~12,357~7,11,22
S1957,22,29,13,13
S1958,6,54,16,17
S1959,18~19,299~282,23,25
S1960,10~11,203~206,23,30
S1961,11~12,256~259,28,28
S1962,13,181~182,28,30
S1963,4,169,30,30
S1964,15~19,126~136,30,30
S1965,9,128,30,30
S1966,9~12,114~119,30,30
