no,lat,lon,first,last
N1722,/,/,1,6
N1723,/,/,1,6
N1725,/,/,1,9
N1727,/,/,1,7
N1728,/,/,1,8
N1729,16~21,124~135,1,8
N1730,24,205,3,9
N1731,30~34,359~15,11,20
N1732,20~22,352~355,11,20
N1733,28~32,314~323,17,18
N1734,14,258,18,21
N1735,7,293,21,21
N1736,42?,215?,21,21
N1737,7~9,243~252,24,30
N1738,23~25,195~205,24,30
N1739,20~25,180~187,24,31
N1740,35,184,24,31
N1741,19,268,25,26
N1742,23~26,159~161,25,28
N1743,21~22,117~122,29,30
S1203,22,55,8,8
S1204,21?,49?,17,17
S1205,25,244,24,24
