no,lat,lon,first,last
N5108,33~34,288~297,oct.4,oct.9
N5109,16,321,oct.5,oct.5
N5110,20~21,314~316,oct.8,oct.8
N5111,19~23,184~198,oct.9,oct.21
N5112,16,152,oct.21,oct.21
N5113,22~24,48~50,oct.27,oct.27
N5114,26~34,353~5,oct.27,nov.5
S4626,29,26,oct.2,oct.2
S4627,19,353,oct.5,oct.5
S4628,23,259~264,oct.8,oct.13
S4629,29~30,185~187,oct.12,oct.22
S4630,25~27,237~242,oct.13,oct.18
S4631,22~25,203~213,oct.14,oct.21
S4632,39~43,109~116,oct.21,oct.23
S4633,31~34,87~96,oct.21,oct.23
S4634,19~20,342~350,oct.27,nov.1
S4635,20~22,43~49,oct.28,nov.1
