no,lat,lon,first,last
N4982,2~4,150~155,jun.4,jun.9
N4983,1,45~48,jun.12,jun.12
N4984,6~7,47~51,jun.16,jun.16
N4985,1,358,jun.16,jun.16
N4986,14,350,jun.16,jun.16
N4987,14~15,344,jun.20,jun.20
N4988,3~6,202~206,jun.27,jul.7
N4989,2~4,304~307,jun.29,jun.29
N4990,10~14,162~170,jun.29,jul.10
S4459,12~13,263~268,jun.1,jun.4
S4460,11~13,85~93,jun.9,jun.19
S4461,8~10,51~56,jun.12,jun.16
S4462,6~11,18~27,jun.14,jun.24
S4463,5~6,352~354,jun.16,jun.24
S4464,7,15,jun.21,jun.21
S4465,14~16,310~322,jun.23,jun.30
S4466,12~13,251~252,jun.23,jul.4
