No,lat,lon,first,last
N1956,/,/,3,10
N1958,/,/,3,7
N1959,20~23,302~306,4,6
N1960,25~27,274~278,4,6
N1961,7,225,6,6
N1962,20~22,311~315,8,8
N1963,25~29,268~275,8,14
N1964,10~14,184~193,8,19
N1965,18~20?,198~202?,19,19
N1966,10~11,145~149,22,22
N1967,14~16,90~74,22,27
N1968,23~24,83~87,22,22
N1969,17?,148?,23,23
N1970,26,98,24,24
N1971,14~15,78~81,24,24
N1972,11~13,320~329,25,30
N1973,20~23,310~319,26,30
N1974,10~11,22~29,28,30
N1975,13~16,340~350,29,30
N1976,23?,261?,30,30
S1313,/,/,3,4
S1316,/,/,3,8
S1319,/,/,3,9
S1320,19~21,286~297,3,7
S1321,18~21,262~263,3,14
S1322,26?,9?,6,6
S1323,18~21,219~233,6,16
S1324,18~20,253~257,8,8
S1325,26~27,147~148,12,23
S1326,20~24,114~125,17,25
S1327,13~15,288~294,28,30
