no,lat,lon,first,last
N2370,/,/,1,3
N2371,17~19,149~154,3,3
N2372,14~15,122~127,3,6
N2373,7~10,100~107,3,6
N2374,9~14,94~96,3,13
N2375,27,156,6,6
N2376,9~11,124~128,6,6
N2377,7,67,6,6
N2378,10~14,33~40,6,16
N2379,18~20,3~13,13,19
N2380,5~7,330~334,13,21
N2381,9~12,330~333,13,22
N2382,15~11,349~351,17,18
N2383,7~8,315~318,18,18
N2384,22~24,304~311,18,21
N2385,11~15,236~244,18,27
N2386,10,204~209,24,25
N2387,8,272,26,26
N2388,26,192,28,28
N2389,18,127,29,30
S1644,/,/,1,6
S1645,18~20,177~182,3,6
S1646,17,159,3,3
S1647,35,123~126,3,6
S1648,13~15,99~105,3,6
S1649,14~19,87~98,3,13
S1650,27,49,13,13
S1651,15~18,18~19,13,18
S1652,16~17,9~10,13,14
S1653,14,358~359,13,15
S1654,16,351,13,13
S1655,17,349,17,17
S1656,15~17,298~303,21,22
S1657,14,261,22,22
S1658,16,186,22,25
S1659,14~19,147~156,24,31
S1660,4~13,118~129,26,31
S1661,13~15,174~177,28,30
S1662,15~16,166~172,28,30
S1663,17,106,30,30
