No,lat,lon,first,last
N2973,/,/,1,3
N2974,/,/,1,8
N2975,/,/,1,8
N2976,/,/,1,4
N2978,10,5,2,2
N2979,4,7,4,4
N2980,5~6,306~301,5,7
N2981,17,259~262,7,8
N2982,18~20,236~241,8,13
N2983,10,301,11,11
N2984,6~8,152~156,17,22
N2985,11,135,17,17
N2986,12~14,172~173,18,18
N2987,8~9,5~8,22,26
N2988,16,78~82,26,26
N2989,10~12,306~315,30,30
N2990,16~19,270~284,30,30
S2280,/,/,1,1
S2283,/,/,1,3
S2284,/,/,1,1
S2286,/,/,1,5
S2287,/,/,1,4
S2288,14,35,1,1
S2289,7~9,317~325,1,8
S2290,4~8,22~33,2,6
S2291,3,2,2,2
S2292,14~15,341~349,5,6
S2293,24,329,6,6
S2294,4~5,301~305,6,8
S2295,5~6,259~261,7,7
S2296,19,240,7,11
S2297,10~13,182~190,11,18
S2298,8~9,160~166,11,22
S2299,14~15,77~81,17,26
S2300,9~11,114~117,20,23
S2301,2~7,27~43,20,30
S2302,7~9,332~340,26,30
S2303,8,270~275,30,30
