no,lat,lon,first,last
N2093,/,/,1,6
N2094,/,/,1,6
N2095,/,/,1,11
N2096,/,/,1,2
N2097,21~22,58~59,1,2
N2098,8~10,358~5,1,6
N2099,16~20,330~335,1,10
N2100,16~19,312~314,2,13
N2101,18~22,302~305,2,13
N2102,14~16,290~297,5,11
N2103,20,276,6,6
N2104,8,331,9,9
N2105,13~15,280~288,9,16
N2106,31,245,9,9
N2107,23~26,243~247,9,18
N2108,10~11,226~235,10,18
N2109,15,201,15,15
N2110,10~12,210~217,16,21
N2111,11~16,105~114,17,26
N2112,18~21,109~112,17,29
N2113,22~27,97~104,18,28
N2114,7~8,169~167,20,21
N2115,8~10,146~152,20,25
N2116,16~17,39~41,22,26
N2117,23~25,12~19,25,28
N2118,17~18,3~9,25,29
N2119,27~28,86~88,26,28
N2120,14~15,351~352,26,29
N2121,11~12,359~1,28,29
N2122,7~10,338~339,28,29
S1426,/,/,1,2
S1427,/,/,1,6
S1428,28,249,6,11
S1429,11~13,232~235,9,13
S1430,28~30,163~173,13,24
S1431,13,160,14,15
S1432,28~31,130~142,14,26
S1433,30,247,15,15
S1434,30~31,125~128,17,23
S1435,12~18,105~114,17,29
S1436,14,168,20,20
S1437,9,77,21,25
S1438,27~30,77~82,22,26
S1439,18~19,14~15,24,26
S1440,17,24,25,25
S1441,19~22,49~57,26,29
S1442,12~13,334~335,28,29
S1443,31~37,322~331,28,29
S1444,36~38,312~314,28,29
