No,lat,lon,first,last
N3698,15,307,apr.4,apr.4
N3699,16~20,178~185,apr.7,apr.17
N3700,0~7,130~149,apr.9,apr.21
N3701,30~31,191~195,apr.10,apr.10
N3702,15,279~283,apr.11,apr.11
N3703,15~16,133~138,apr.12,apr.21
N3704,24~32,117~131,apr.12,apr.23
N3705,13,120,apr.13,apr.14
N3706,10~12,133~135,apr.15,apr.18
N3707,15~18,127~131,apr.15,apr.18
N3708,32~34,168~175,apr.16,apr.18
N3709,3,122,apr.17,apr.17
N3710,8~9,121~123,apr.17,apr.17
N3711,4~7,47~49,apr.17,apr.27
N3712,16~18,99~105,apr.22,apr.23
N3713,18~20,3~11,apr.22,apr.28
N3714,13~20,324~340,apr.22,may.4
N3715,20,325,apr.27,apr.27
N3716,9~10,332~334,apr.27,apr.29
N3717,21~24,293~303,apr.27,may.1
N3718,12~17,271~290,apr.27,may.9
N3719,9~10,276~277,apr.28,may.1
S2983,14~15,0~4,apr.1,apr.4
S2984,20,347~351,apr.4,apr.4
S2985,30~31,314~317,apr.4,apr.7
S2986,33~35,304~312,apr.4,apr.4
S2987,18,335,apr.6,apr.6
S2988,25~28,203~206,apr.6,apr.10
S2989,10~13,268~274,apr.7,apr.12
S2990,29,207,apr.7,apr.7
S2991,31,308,apr.9,apr.9
S2992,25~26,235~239,apr.10,apr.14
S2993,23~26,124~133,apr.13,apr.22
S2994,26,185,apr.17,apr.17
S2995,15~16,124~130,apr.21,apr.22
S2996,21~27,316~322,apr.23,may.5
S2997,23~26,333~336,apr.27,apr.29
S2998,30~31,305~309,apr.27,apr.29
S2999,38,6,apr.29,apr.29
S3000,17,321,apr.29,apr.29
