no,lat,lon,first,last
N3337,/,/,1,4
N3338,/,/,1,6
N3339,33~35,159~168,2,6
N3340,21~24,138~143,2,6
N3341,14~15,114~115,3,5
N3342,17~19,140~144,4,10
N3343,15~16,181~185,5,7
N3344,16~18,61~72,10,17
N3345,17,233,21,21
N3346,19~22,238~239,21,31
N3347,14~19,249~257,23,31
N3348,38,220~223,27,27
N3349,12,256~259,29,29
N3350,13~15,157~163,29,31
N3351,16~21,139~140,29,31
N3352,12,139~140,31,31
N3353,13,127,31,31
S2658,/,/,1,7
S2660,/,/,1,7
S2661,24,154,3,3
S2662,29,117,6,6
S2663,24,2,13,13
S2664,27,78~81,13,16
S2665,23,72~74,13,13
S2666,22~23,68,15,15
S2667,26~28,358~2,15,19
S2668,28~29,352~354,20,20
S2669,22~26,348~355,21,23
S2670,19,213,23,27
S2671,25~28,156~167,27,31
S2672,28~32,155~168,27,31
S2673,15~19,166~173,29,31
S2674,26~27,140~145,31,31
