No,lat,lon,first,last
N3850,11~12,98~103,sep.3,sep.6
N3851,22,94,sep.3,sep.3
N3852,10,73,sep.3,sep.3
N3853,13~14,69~71,sep.3,sep.6
N3854,10~16,42~51,sep.3,sep.12
N3855,9~17,335~352,sep.4,sep.13
N3856,24~26,321~328,sep.8,sep.11
N3857,11~18,297~308,sep.8,sep.17
N3858,5~11,298~309,sep.9,sep.20
N3859,27,354,sep.10,sep.10
N3860,22,326,sep.10,sep.10
N3861,23~26,273~278,sep.10,sep.20
N3862,12~13,325~330,sep.12,sep.16
N3863,17~22,249~256,sep.12,sep.18
N3864,26,318,sep.13,sep.13
N3865,31,235~239,sep.16,sep.16
N3866,1~12,183~200,sep.16,sep.24
N3867,23~29,157~168,sep.19,sep.24
N3868,20~21,244~248,sep.20,sep.20
N3869,11~14,164~168,sep.20,sep.24
N3870,13~14,191~193,sep.21,sep.23
N3871,15~20,119~128,sep.21,oct.2
N3872,17,199,sep.22,sep.22
N3873,20,183,sep.22,sep.22
N3874,13~14,109~110,sep.22,oct.2
N3875,12~15,217~221,sep.23,sep.24
N3876,20~23,186~192,sep.23,sep.24
N3877,15~17,145~150,sep.23,sep.24
N3878,19~20,100~101,sep.23,sep.24
N3879,13~22,89~101,sep.23,oct.5
N3880,9~10,135~137,sep.24,sep.24
N3881,20~24,117~127,sep.24,oct.2
S3103,15,97~99,sep.3,sep.3
S3104,19~21,88~95,sep.3,sep.8
S3105,16~20,28~40,sep.3,sep.12
S3106,21~22,36~42,sep.8,sep.8
S3107,28~31,14~20,sep.8,sep.12
S3108,24~27,5~13,sep.10,sep.13
S3109,24~28,259~265,sep.11,sep.22
S3110,13,282~284,sep.13,sep.13
S3111,11~12,249~253,sep.16,sep.21
S3112,11,228,sep.16,sep.20
S3113,20~23,191~195,sep.16,sep.24
S3114,8~10,282~286,sep.17,sep.20
S3115,26,235~236,sep.18,sep.18
S3116,20~21,207~209,sep.19,sep.21
S3117,11~12,170~173,sep.19,sep.23
S3118,18~20,159~169,sep.19,sep.24
S3119,8~10,195~201,sep.20,sep.24
S3120,0~1,188~194,sep.20,sep.23
S3121,15,241,sep.21,sep.21
S3122,11~15,148~155,sep.22,oct.1
S3123,16,238,sep.23,sep.23
S3124,5,193,sep.23,sep.23
S3125,25,187,sep.23,sep.23
S3126,7,187,sep.24,sep.24
S3127,12~15,134~144,sep.24,oct.2
S3128,30,153,sep.24,sep.24
S3129,24~26,105~111,sep.24,oct.2
S3130,20~25,84~93,sep.24,oct.5
