No,lat,lon,first,last
N2117,/,/,1,4
N2118,/,/,1,4
N2120,/,/,1,1
N2121,/,/,1,2
N2122,/,/,1,7
N2123,10~11,3~4,1,2
N2124,14~19,293~297,1,6
N2125,17,315~316,2,2
N2126,16~20,248~256,4,9
N2127,16,353,5,5
N2128,22,293,5,5
N2129,13~18,203~206,6,18
N2130,8~12,234~242,7,14
N2131,19,293,9,9
N2132,8~10,167~174,9,17
N2133,21,231~235,12,14
N2134,29,241,13,13
N2135,20~22,99~101,14,24
N2136,10~15,84~96,14,24
N2137,10,219,16,16
N2138,25,95,20,20
N2139,9~13,6~14,21,30
N2140,3,81~83,24,24
N2141,20,345,24,24
N2142,25~29,346~357,30,30
N2143,8,313,30,30
S1441,/,/,1,1
S1442,/,/,1,7
S1443,/,/,1,7
S1444,/,/,1,7
S1445,15~16,309~315,1,2
S1446,12~13,251~252,4,9
S1447,12~16,242~248,4,13
S1448,27~28,308~311,6,9
S1449,16~17,317~319,7,7
S1450,13~16,175~184,11,18
S1451,7,177~179,12,12
S1452,30~31,126~127,12,21
S1453,13~16,113~116,13,24
S1454,11~13,172~184,16,16
S1455,29~31,109~117,16,20
S1456,19~20,139~144,17,18
S1457,14~16,19~30,22,30
S1458,16~17,7~9,30,30
S1459,20,0,30,30
