No,lat,lon,first,last
N4951,7~8,302~310,feb.5,feb.12
N4952,5,165~169,feb.15,feb.16
N4953,9~16,107~126,feb.18,mar.1
N4954,7~12,84~92,feb.19,mar.2
N4955,19,48,feb.24,feb.24
S4385,14~15,43~46,feb.1,feb.1
S4386,12~15,336~346,feb.1,feb.13
S4387,8~15,293~306,feb.4,feb.15
S4388,15~18,326~330,feb.5,feb.8
S4389,10~13,273~279,feb.5,feb.16
S4390,12~18,259~271,feb.6,feb.18
S4391,15~16,311~314,feb.9,feb.13
S4392,16,302,feb.11,feb.11
S4393,6~7,196~201,feb.13,feb.22
S4394,7,185,feb.13,feb.19
S4395,22,158,feb.16,feb.16
S4396,21,251,feb.18,feb.18
S4397,18~21,149~156,feb.18,feb.21
S4398,10,179,feb.19,feb.19
S4399,10~16,44~53,feb.24,mar.5
S4400,12~14,69~75,feb.28,mar.3
S4401,16~17,341~344,feb.29,mar.2
