no,lat,lon,first,last
N3815,30,218,aug.1,aug.1
N3816,14,147,aug.1,aug.1
N3817,18,138,aug.1,aug.1
N3818,11,174~175,aug.2,aug.2
N3819,18,185,aug.2,aug.2
N3820,4~6,137~143,aug.6,aug.8
N3821,24~25,71~75,aug.6,aug.9
N3822,10~11,51~52,aug.6,aug.7
N3823,23~27,358~6,aug.7,aug.15
N3824,17,63,aug.8,aug.9
N3825,12,44,aug.8,aug.8
N3826,11~20,348~356,aug.8,aug.19
N3827,14~16,7,aug.9,aug.13
N3828,14~15,31~34,aug.10,aug.10
N3829,14~16,293~299,aug.12,aug.23
N3830,17,343,aug.13,aug.13
N3831,25~26,7~9,aug.14,aug.14
N3832,15~16,253~254,aug.15,aug.24
N3833,12~13,337~341,aug.17,aug.21
N3834,20,350,aug.18,aug.18
N3835,23~26,272~276,aug.19,aug.24
N3836,6~7,237~239,aug.21,aug.21
N3837,3~9,182~200,aug.21,aug.31
N3838,26,259~263,aug.23,aug.24
N3839,15~20,177~183,aug.24,aug.31
N3840,6,146,aug.27,aug.28
N3841,15~18,100~105,aug.27,sep.8
N3842,13,212,aug.8,aug.28
N3843,21~23,104~108,aug.28,aug.31
N3844,15~19,88~93,aug.28,sep.4
N3845,15~17,151~156,aug.29,sep.4
N3846,19~20,107~109,aug.29,aug.29
N3847,11,83~86,aug.29,aug.29
N3848,18~22,55~68,aug.30,sep.11
N3849,10~13,57~68,aug.31,sep.6
S3076,15,162,aug.1,aug.1
S3077,12,81,aug.2,aug.2
S3078,15~17,22~28,aug.6,aug.16
S3079,25~27,28~33,aug.6,aug.12
S3080,14~16,117~120,aug.7,aug.9
S3081,12~13,40~43,aug.8,aug.9
S3082,24,53,aug.9,aug.9
S3083,25,351,aug.9,aug.10
S3084,21,302,aug.13,aug.14
S3085,23~25,286~290,aug.14,aug.24
S3086,6~8,294~296,aug.14,aug.15
S3087,22~30,265~279,aug.14,aug.24
S3088,12~14,261~263,aug.16,aug.23
S3089,12~14,217~225,aug.19,aug.27
S3090,13~17,246~254,aug.21,aug.24
S3091,15,233~237,aug.21,aug.21
S3092,20~21,209~210,aug.21,aug.21
S3093,29~34,183~195,aug.21,aug.31
S3094,16,255,aug.23,aug.23
S3095,19,213~216,aug.23,aug.24
S3096,20~21,161~164,aug.23,aug.27
S3097,15~16,284~285,aug.24,aug.24
S3098,20~21,147~151,aug.24,aug.31
S3099,9~11,186~192,aug.27,aug.28
S3100,25~27,131~132,aug.27,aug.31
S3101,20,192,aug.29,aug.29
S3102,28~29,123~125,aug.31,aug.31
