no,lat
N25,15
N26,4
N27,13~15
N28,3
N29,5~6
N30,9
N31,2~4
N32,11
N33,7
S33,1
S34,7
S35,4
S36,28~30
S37,8
S38,12~15
S39,12
S40,6~11
S41,21
