No,lat,lon,first,last
N2075,/,/,1,2
N2076,/,/,1,3
N2077,/,/,1,5
N2079,9~11,40~48,3,9
N2080,19~21,359~2,6,8
N2081,23~26,279~287,7,16
N2082,20~24,244~253,9,21
N2083,20~22,308~313,14,15
N2084,29~30,226~227,14,21
N2085,22~25,171~179,15,16
N2086,18~20,195~201,20,21
N2087,9,186,20,20
N2088,12~14,146~149,21,26
N2089,11~14,132~140,21,27
N2090,9,144~145,24,24
N2091,6~7,110~111,24,25
N2092,6~8,146~149,26,27
N2093,17,13,27,30
N2094,13~16,26~37,30,30
N2095,15~19,346~338,30,30
N2096,6~8,334~336,30,30
S1415,/,/,1,3
S1417,/,/,1,7
S1418,/,/,1,6
S1419,/,/,1,4
S1420,/,/,1,9
S1421,18~21,331~338,3,9
S1422,14~15,15~19,6,9
S1423,12~14,276~282,13,16
S1424,11~12,178~182,15,21
S1425,15,251,16,16
S1426,24~25,67~68,24,30
S1427,14~18,33~40,25,30
