no,lat,lon,first,last
N2062,/,/,1,4
N2065,/,/,1,6
N2067,23~24,33~37,6,7
N2068,17~19,349~356,9,14
N2069,14~15,25~32,12,13
N2070,12~13,277~278,12,19
N2071,14~18,261~270,12,22
N2072,28~32,244~248,13,22
N2073,8~11,208~213,22,27
N2074,35,238,22,22
N2075,10~14,126~134,27,31
N2076,10~11,117~118,27,31
N2077,15~22,90~98,27,31
N2078,23,91,28,28
S1400,/,/,1,4
S1403,/,/,1,7
S1405,/,/,1,13
S1406,15~17,36~42,7,10
S1407,11~15,314~317,9,14
S1408,7~8,359~2,10,13
S1409,17~18,253~260,13,19
S1410,19,2,15,15
S1411,13,181,19,22
S1412,11~13,169~176,22,28
S1413,23~24,158~161,22,22
S1414,24~25,201~206,27,31
S1415,14~15,107~112,27,28
S1416,11~15,84~88,27,31
S1417,20~23,73~79,27,31
S1418,17~19,66~72,27,31
S1419,13,38,31,31
S1420,16~17,30~36,31,31
