no,lat,lon,first,last
N5743,21,66~74,jun.3,jun.7
N5744,6~11,20~28,jun.3,jun.14
N5745,-1~2,27~30,jun.6,jun.7
N5746,17~18,18~23,jun.6,jun.7
N5747,12,49,jun.7,jun.7
N5748,20~25,11~22,jun.7,jun.14
N5749,23,340~344,jun.11,jun.12
N5750,23~27,325~328,jun.11,jun.14
N5751,14~17,307~309,jun.12,jun.14
N5752,13,283,jun.12,jun.13
N5753,6~10,276~284,jun.13,jun.23
N5754,14,26~29,jun.14,jun.14
N5755,18,326,jun.14,jun.14
N5756,28~29,313~320,jun.14,jun.19
N5757,13,277~280,jun.17,jun.19
N5758,16~17,317~318,jun.19,jun.19
N5759,26~27,144~145,jun.22,jun.29
N5760,14~16,162~165,jun.28,jun.29
N5761,22~23,149~155,jun.28,jun.29
N5762,8~11,76~85,jun.28,jul.8
N5763,4~6,113~120,jun.29,jun.29
N5764,11~13,96~101,jun.29,jul.6
N5765,11~20,34~49,jun.29,jul.11
S5198,15,96,jun.3,jun.3
S5199,4~8,65~72,jun.3,jun.7
S5200,16~18,36~45,jun.3,jun.7
S5201,18~19,136,jun.6,jun.7
S5202,11~12,75~82,jun.6,jun.11
S5203,14,45~48,jun.7,jun.7
S5204,23~24,69~75,jun.11,jun.11
S5205,9~10,12~15,jun.11,jun.11
S5206,20,359,jun.11,jun.11
S5207,14~15,356~357,jun.11,jun.11
S5208,18,312~319,jun.11,jun.11
S5209,12~17,310~317,jun.11,jun.19
S5210,12~17,333~341,jun.12,jun.12
S5211,28~31,278~288,jun.13,jun.23
S5212,6~10,254~263,jun.13,jun.23
S5213,26~27,305~307,jun.17,jun.17
S5214,32~35,291~295,jun.17,jun.17
S5215,20,279,jun.17,jun.17
S5216,7,275,jun.17,jun.17
S5217,3~4,187~190,jun.19,jun.19
S5218,7~10,179~185,jun.22,jun.29
S5219,17,142,jun.22,jun.23
S5220,18~24,113~131,jun.23,jul.6
S5221,6~8,162~168,jun.28,jun.29
S5222,9~13,81~97,jun.28,jul.8
S5223,19~22,67~80,jun.28,jul.9
S5224,26~27,50~56,jun.28,jul.5
S5225,17~18,139,jun.29,jun.29
