No,lat,lon,first,last
N2655,/,/,1,1
N2657,/,/,1,1
N2659,/,/,1,8
N2660,19,171,1,1
N2661,15~18,116~126,6,15
N2662,15,175,8,8
N2663,31,164,9,9
N2664,3~8,53~63,15,18
N2665,9~11,45~55,15,22
N2666,16~19,28~32,15,24
N2667,7~10,29~37,17,24
N2668,25,23~24,17,18
N2669,8~12,339~347,17,25
N2670,13,330,17,23
N2671,12~17,295~302,21,31
N2672,12~17,255~265,22,31
N2673,13~20,241~253,23,31
N2674,20~24,236~243,24,31
N2675,16,319,25,25
N2676,13~15,311~316,28,28
N2677,18~19,281~284,28,28
N2678,2~4,264~270,31,31
N2679,4~7,257~259,31,31
N2680,16~20,173~180,31,31
N2681,19~22,146~154,31,31
S1938,/,/,1,1
S1940,8~14,176~187,6,9
S1941,10,252,7,7
S1942,11~12,107~119,8,15
S1943,12~13,43~46,15,18
S1944,6,284,21,25
S1945,21,262,23,25
S1946,10~13,194~198,28,31
S1947,11,286,31,31
