No,lat,lon,first,last
N2882,/,/,2,2
N2886,9~12,304~313,2,5
N2887,8,268,2,2
N2888,1~2,273~277,5,7
N2889,8,130,8,8
N2890,15~22,122~127,12,20
N2891,24,92~97,12,21
N2892,5~10,18~30,17,25
N2893,9~15,11~23,17,25
N2894,17~18,110~112,18,20
N2895,7,86~89,22,22
N2896,11,4,24,25
N2897,4,319,29,29
N2898,9~11,292~300,29,29
N2899,20,264,29,29
S2165,/,/,2,2
S2166,10~11,306~309,2,5
S2167,7~10,192~199,5,8
S2168,16~20,250~255,7,8
S2169,4~5,224~227,7,8
S2170,5,189,7,8
S2171,7~10,140~147,8,17
S2172,14~17,95~104,12,22
S2173,8~10,58~62,13,22
S2174,12~13,109~111,14,14
S2175,18~22,84~93,14,21
S2176,5~7,59~62,15,24
S2177,10~16,38~50,15,25
S2178,10~12,99~100,17,17
S2179,14~22,339~351,20,29
S2180,8~10,288~291,29,29
S2181,7~10,250~261,29,29
S2182,3,253,29,29
S2183,5~10,222~228,29,29
