no,ns,lat
2429,N,9
2430,N,15
2431,N,23
2432,S,15~17
2433,N,7
2434,N,23
2435,N,26
2436,S,8
2437,S,12
2438,S,7
2439,N,4
2440,S,10
2441,N,14
2442,N,26
2443,N,24
2444,N,14~17
2445,S,4
2446,S,17
2447,N,10~11
2448,S,14
2449,S,18
2450,N,14
2451,S,9
2452,N,13~20
2453,N,8~12
2454,S,7
2455,S,13
2456,N,7
2457,N,13
