no,ns,lat
505,N,5~6
508,S,29
506,N,6
509,S,12
507,N,27
508,N,17~21
510,S,19
511,S,9
509,N,14~16
510,N,30
511,N,6~10
512,S,16~17
513,S,36
512,N,8
514,S,14
513,N,13
514,N,24
515,S,18
516,S,12~16
515,N,17
517,S,23
516,N,14~21
517,N,21~24
518,N,13~16
518,S,22~26
519,S,14
519,N,29
520,N,19~29
520,S,16~17
521,S,9
522,S,16~20
521,N,13~15
522,N,25~28
523,S,2
524,S,14
523,N,10
525,S,5~6
526,S,16
527,S,8
528,S,20~22
524,N,17~20
525,N,7
526,N,23
529,S,23
527,N,16~20
530,S,12
531,S,18~20
532,S,6
