no,lat,lon,first,last
N1708,/,/,1,5
N1710,18,266~258,2,8
N1711,32~35,215~204,2,10
N1712,21,159,6,13
N1713,29~32,164~157,10,13
N1714,18~20,127~122,10,14
N1715,26~28,6~1,13,24
N1716,37?,106?,17,17
N1717,22,15~14,17,18
N1718,24,53~50,18,20
N1719,35,306,18,20
N1720,20~21,347~346,20,21
N1721,25,315,20,21
N1722,20~24,261~258,21,31
N1723,34~39,277~265,23,31
N1724,35~36,299~301,24,25
N1725,32~33,207~206,24,31
N1726,23,313,26,26
N1727,22~25,186~180,26,31
N1728,25~29,167~157,28,31
S1199,29~31,112~105,12,14
S1200,18~19,23~17,13,18
S1201,20~22,320~315,17,24
S1202,4,336,21,21
