No,lat,lon,first,last
N1825,/,/,1,3
N1827,/,/,1,4
N1828,/,/,1,7
N1830,/,/,1,3
N1831,/,/,1,7
N1832,13~16,190~200,2,7
N1833,13,222,5,5
N1834,18~20,164~177,5,15
N1835,19~21?,122~129,7,7
N1836,15~17,105~112,14,19
N1837,13,86,14,20
N1838,14~16,17~25,15,26
N1839,19~20,12~17,16,27
N1840,23~24,1~7,17,26
N1841,23,12,18,19
N1842,15~16,55~59,19,22
N1843,20,25,20,20
N1844,19~26,308~288,21,28
N1845,14,329,27,28
N1846,12,319,27,27
N1847,15~18,260~271,27,28
N1848,15~17,215~223,28,28
N1849,12~13,204~212,28,28
S1231,/,/,1,5
S1234,/,/,1,7
S1235,18~20,248~251,1,3
S1236,13~14,226~231,3,3
S1237,23~26,159~164,5,7
S1238,22~24,37~39,14,22
S1239,20~22,309~311,20,28
S1240,25~27,350,21,22
S1241,16,34~37,22,22
S1242,15~13,254~257,26,28
S1243,17~15,275~278,26,28
S1244,23~24,248~251,26,28
S1245,18~22,217~228,26,28
S1246,15,218,26,28
