no,lat,lon,first,last
N6441,7~8,358~2,may.2,may.2
N6442,2,333,may.2,may.2
N6443,6~8,292~296,may.2,may.4
N6444,14~15,255~256,may.8,may.8
N6445,9~11,158~161,may.12,may.17
N6446,6~11,108~125,may.12,may.24
N6447,8~9,52~58,may.18,may.24
S6207,10~11,348,may.1,may.1
S6208,11~12,324~326,may.1,may.2
S6209,7,318~320,may.2,may.2
S6210,12~14,283~286,may.2,may.5
S6211,6~8,227~233,may.7,may.12
S6212,10~11,201~203,may.9,may.17
S6213,11,146,may.12,may.12
S6214,6,184,may.13,may.13
S6215,18,66,may.23,may.23
