no,lat,lon,first,last
N2520,/,/,1,2
N2522,/,/,1,3
N2525,/,/,1,5
N2526,3~8,150~161,1,3
N2527,11,140,2,2
N2528,18~20,94~96,5,15
N2529,12,71,6,11
N2530,13~14,19~24,12,14
N2531,18,350~347,14,15
N2532,14~15,333~337,19,20
N2533,13~20,250~259,19,28
N2534,8~10,251~257,20,29
N2535,10~15,233~240,20,31
N2536,19~22,218~228,26,31
N2537,1~5,159~165,26,31
N2538,19,237,28,28
N2539,4~5,172~177,29,31
S1812,/,/,1,2
S1813,/,/,1,3
S1815,/,/,1,7
S1817,10~14,120~125,2,11
S1818,15~16,198~205,3,7
S1819,20,158,5,5
S1820,6,124,5,5
S1821,9~13,94~100,5,7
S1822,11~17,71~87,5,15
S1823,12~15,106~111,6,14
S1824,21,198,7,7
S1825,17,147~148,11,11
S1826,12,96,11,11
S1827,9,52,11,11
S1828,12,32,11,15
S1829,0~3,22~16,14,20
S1830,15~18,305~309,15,27
S1831,25,335,18,18
S1832,0~5,260~265,18,29
S1833,5~7,273~274,26,26
S1834,8~16,227~231,26,31
S1835,3,183~190,26,31
S1836,18,198,31,31
S1837,23,191,31,31
S1838,13,123,31,31
S1839,10~16,78~93,31,31
