no,lat,lon,first,last
N1902,/,/,1,1
N1903,/,/,1,2
N1904,/,/,1,3
N1907,20,130,1,3
N1908,15,129,1,1
N1909,21~31,98~117,1,8
N1910,18~15,46~53,5,13
N1911,20~21,236~237,15,23
N1912,25~26,230~231,15,27
N1913,33?,220?,17,17
N1914,25~26,208~218,17,24
N1915,11~12,200~201,18,24
N1916,18~19,243~254,19,24
N1917,16~20,167~180,20,30
N1918,30,223,23,23
N1919,24~27,108~114,24,30
N1920,20~21,50~56,29,30
N1921,13~15,85~86,30,30
S1279,/,/,1,1
S1282,15~18,138~141,1,6
S1283,11~12,45~49,5,6
S1284,18,5,8,8
S1285,13~15,27~34,11,15
S1286,18~17,253~257,15,19
S1287,18,218,16,20
S1288,12,271,17,17
S1289,17,248,20,20
S1290,20~21,152~162,23,30
S1291,17,131,29,29
S1292,14,37,30,30
