no,lat,lon,first,last
N2322,/,/,1,1
N2323,/,/,1,1
N2324,/,/,1,6
N2325,/,/,1,6
N2326,/,/,1,7
N2327,4,300,2,3
N2328,9,227,4,4
N2329,9,88,9,14
N2330,5~7,102~107,12,18
N2331,13~16,78~83,12,20
N2332,10~13,65~77,12,21
N2333,15~17,65~69,12,20
N2334,17~18,96~100,14,19
N2335,9~12,91~99,14,19
N2336,18,74,14,18
N2337,18~20,58,14,14
N2338,17~18,40~44,18,19
N2339,5~9,308~316,19,30
N2340,6~11,324~330,20,26
N2341,9~11,295~300,20,30
N2342,12~13,351~356,21,26
N2343,11~12,282~288,21,30
N2344,10~12,271~276,21,26
N2345,7,303,23,23
N2346,2~4,345~348,24,26
N2347,15,297,24,24
N2348,3~8,205~214,26,31
S1613,13~14,281~282,1,1
S1614,20,266,2,2
S1615,11~16,168~179,2,12
S1616,11~15,131~141,5,10
S1617,30~32,131~132,5,8
S1618,18~20,165~169,8,10
S1619,7,102,9,9
S1620,17~19,93~99,9,9
S1621,9~11,77~84,9,14
S1622,6~8,96~103,12,19
S1623,16~17,94~97,12,14
S1624,13~15,134~139,14,14
S1625,14~18,311~323,18,30
S1626,12~15,331~344,19,26
S1627,13~14,356~359,21,23
S1628,20~24,334~344,21,26
S1629,25~28,332~336,23,26
S1630,15~16,179~180,30,31
