No,lat,lon,first,last
N2911,1~2,205~210,2,5
N2912,9,141,10,10
N2913,10~11,92~93,13,14
N2914,8~9,27~28,13,21
N2915,7,318,19,27
N2916,12~16,337~341,21,22
N2917,16~17,248~253,21,30
N2918,7~11,298~304,24,29
N2919,4~5,232~238,25,30
S2199,/,/,1,5
S2200,/,/,1,1
S2201,/,/,1,3
S2202,/,/,1,5
S2203,13,270,2,2
S2204,7~8,128~129,4,13
S2205,13~15,86~96,10,16
S2206,16~17,83~86,10,10
S2207,5~9,81~89,10,16
S2208,9~14,50~57,10,18
S2209,5~7,5~10,16,21
S2210,7~12,330~334,16,22
S2211,7~12,318~330,16,28
S2212,13,351,18,18
S2213,15,21,21,21
S2214,6,250~254,21,25
S2215,2~3,320~325,22,25
S2216,13~15,270~278,22,29
S2217,10~12,309~313,24,25
