no,ns,lat
557,S,28
558,S,10~14
559,S,13~15
555,N,11
556,N,9~11
560,S,28
561,S,16~23
562,S,20
557,N,17
558,N,31
563,S,8
559,N,23~26
560,N,20
561,N,8
564,S,15
565,S,16
562,N,18
563,N,8~12
564,N,8~10
566,S,23
565,N,26
566,N,12
567,N,20
568,N,11~13
569,N,4
567,S,15
570,N,17
571,N,20
568,S,15~18
569,S,15
570,S,24
571,S,12~14
572,N,11
572,S,4~6
573,N,8~10
573,S,23
574,S,8
575,S,10
576,S,32
574,N,28~30
577,S,4
578,S,22
579,S,11~14
580,S,26
575,N,2
576,N,14
