no,lat,lon,first,last
N2156,/,/,2,5
N2161,/,/,2,5
N2163,16,250,2,3
N2164,20,210,2,3
N2165,4~7,171~174,2,11
N2166,19~20,276~279,3,4
N2167,5~15,154~164,3,15
N2168,6~4,187~196,4,9
N2169,12,143,5,6
N2170,4,137,6,8
N2171,7~9,130~137,7,14
N2172,11~14,198~204,8,9
N2173,12~13,171~174,8,9
N2174,14~17,92~104,11,19
N2175,15~17,158~162,14,15
N2176,6~8,15~21,14,24
N2177,26~30,336~346,18,24
N2178,7,292,20,24
N2179,11?,288?,21,21
N2180,10~13,181~192,29,30
S1474,20~22,265~271,3,6
S1475,11~12,206~209,5,5
S1476,9,221~224,7,8
S1477,15,108,7,18
S1478,7,135,9,9
S1479,20~21,169~174,11,11
S1480,16~19,57~60,11,22
S1481,0~3,132~143,12,16
S1482,12~18,25~41,12,23
S1483,27,145,13,13
S1484,23~25,135~139,14,16
S1485,8~10,112~116,14,16
S1486,22,36,14,14
S1487,8~16,7~29,14,24
S1488,17,14,14,16
S1489,10,43,15,15
S1490,4,88~91,16,16
S1491,18~20,308~317,20,29
S1492,25,27,22,24
S1493,9,239~240,29,29
S1494,10~12,206~214,29,29
