no,ns,lat
439,N,26
458,S,15
459,S,21~26
440,N,40
460,S,5
461,S,15
441,N,11
462,S,36
442,N,9
443,N,40
463,S,15
444,N,31
464,S,40
465,S,14
445,N,18~22
446,N,10
447,N,18
448,N,14
449,N,13
450,N,34
466,S,12
451,N,24~25
452,N,13
467,S,17~19
453,N,21~24
454,N,9~12
468,S,20~29
455,N,23
456,N,5
457,N,39
458,N,12~14
459,N,12
460,N,27
469,S,14
461,N,16
462,N,23
463,N,14~17
464,N,21
465,N,13
470,S,23
471,S,12
466,N,14
467,N,25
472,S,24
473,S,12
474,S,6
468,N,9~11
469,N,10
470,N,24
471,S,10
471,N,27
472,N,20
473,N,14
474,N,33
475,N,13
475,S,14
476,S,19~24
476,N,26
478,S,13
