No,lat,lon,first,last
N7171,14~16,46~54,jul.1,jul.12
N7172,16~12,24~38,jul.2,jul.14
N7173,12,350~357,jul.5,jul.11
N7174,22,78~84,jul.6,jul.9
N7175,15,65,jul.6,jul.6
N7176,6,338,jul.8,jul.8
N7177,14~24,302~321,jul.8,jul.19
N7178,14~15,355~356,jul.9,jul.10
N7179,19~22,292~296,jul.9,jul.14
N7180,13,18,jul.10,jul.10
N7181,25~27,283~292,jul.10,jul.17
N7182,2~5,269~278,jul.11,jul.23
N7183,23~25,275~277,jul.14,jul.21
N7184,11~17,249~263,jul.14,jul.23
N7185,12,247,jul.14,jul.17
N7186,19~21,266~275,jul.16,jul.23
N7187,19~25,241~256,jul.16,jul.24
N7188,8~14,192~214,jul.16,jul.29
N7189,18~22,285~291,jul.17,jul.21
N7190,4~9,164~176,jul.19,jul.30
N7191,13~14,158~159,jul.21,aug.1
N7192,18,195,jul.22,jul.22
N7193,8~11,110~118,jul.29,aug.4
N7194,15~18,50~53,jul.29,aug.9
S6947,5,189,jul.1,jul.2
S6948,15~22,42~52,jul.1,jul.12
S6949,12,41~42,jul.2,jul.6
S6950,7,151,jul.3,jul.3
S6951,15,133~136,jul.4,jul.4
S6952,17~22,9~20,jul.5,jul.14
S6953,15~19,24~40,jul.8,jul.14
S6954,20~23,332~337,jul.8,jul.14
S6955,12~13,320~327,jul.8,jul.14
S6956,25~26,298~299,jul.9,jul.21
S6957,11~12,302~312,jul.12,jul.19
S6958,7~16,228~243,jul.14,jul.24
S6959,3~7,206~210,jul.16,jul.24
S6960,23~25,272~276,jul.17,jul.19
S6961,21~23,196~199,jul.17,jul.24
S6962,11,255,jul.18,jul.18
S6963,18~20,227~229,jul.19,jul.23
S6964,10~12,173~175,jul.19,jul.29
S6965,29~30,122~132,jul.22,aug.1
S6966,14,128,jul.23,jul.24
S6967,10~11,144~148,jul.29,jul.31
S6968,12,133,jul.29,jul.29
S6969,16~20,59~66,jul.29,aug.6
S6970,12~19,27~41,jul.29,aug.8
S6971,16,103,jul.30,jul.30
S6972,5~7,61~66,jul.30,aug.3
S6973,17~18,12~20,jul.30,aug.10
