no,ns,lat
581,S,12
582,S,14~21
577,N,23~25
583,S,10
584,S,8~10
578,N,30~32
579,N,14
580,N,20
585,S,18
581,N,10~15
582,N,8~10
583,N,20~21
584,N,10~13
585,N,14
586,N,10
586,S,10~12
587,N,33~34
587,S,21
588,N,16
589,N,45
588,S,12
589,S,16
590,N,19~22
591,N,7
592,N,16
590,S,16
593,N,22~25
591,S,22
594,N,19
595,N,18~19
592,S,7
593,S,9~15
596,N,22~23
594,S,4~7
595,S,18~23
597,N,7
596,S,15~19
598,N,22
599,N,30~34
597,S,15
598,S,1~3
600,N,19
599,S,13~15
601,N,5
602,N,15~17
603,N,19
