no,ns,lat
326,S,12~15
327,S,15~17
328,S,16
329,S,17~19
338,N,23
339,N,13~15
340,N,17
341,N,14
342,N,14
330,S,18~22
331,S,28~30
332,S,22
343,N,21~24
344,N,14~15
333,S,21
345,N,22
346,N,27~29
334,S,20~23
335,S,24
336,S,16
337,S,11
347,N,36~39
348,N,14
349,N,11
338,S,38
339,S,15
340,S,9~11
350,N,30~34
341,S,19
342,S,10~13
343,S,14
344,S,27~30
351,N,25
345,S,16~21
346,S,10
347,S,21
348,S,11
349,S,3~5
352,N,16
353,N,25
350,S,11~13
354,N,26~27
351,S,30
355,N,28
