no,lat,lon,first,last
N2492,/,/,3,8
N2494,/,/,3,3
N2495,/,/,3,9
N2496,9,159,3,3
N2497,25,159,6,6
N2498,8,171,8,8
N2499,8,100,11,11
N2500,12~13,53~62,11,18
N2501,10,76~77,12,13
N2502,17,95,14,19
N2503,11~16,11~23,16,25
N2504,11,53,18,22
N2505,14,3,19,20
N2506,9,281,22,24
N2507,8,276,27,27
N2508,10~11,222~228,27,29
S1747,/,/,3,3
S1755,/,/,3,3
S1757,0,185~186,5,5
S1758,3~12,107~116,8,17
S1759,28~32,171~181,9,14
S1760,13,172~175,9,11
S1761,10~13,91~103,9,19
S1762,-9~10,74~75,10,19
S1763,-17,69,10,12
S1764,15~18,50~57,11,19
S1765,9~13,45~55,11,22
S1766,19~21,90~96,12,19
S1767,12~14,72~79,12,20
S1768,14,67,12,13
S1769,5~7,31~34,13,22
S1770,10~12,27~31,13,20
S1771,14,91~94,14,16
S1772,22~25,90~95,16,19
S1773,11,8~11,16,20
S1774,14,359,17,17
S1775,2~4,331~336,17,29
S1776,13~15,37~45,18,24
S1777,8~9,345,20,22
S1778,18~21,284~292,20,29
S1779,22~24,58~63,21,22
S1780,10,19,22,22
S1781,2~6,258~267,24,29
S1782,8~11,291~299,25,29
S1783,13~18,285~299,25,29
S1784,14,282,25,25
S1785,5~8,266~273,25,29
S1786,9~10,254~264,27,29
S1787,4~6,251~256,27,29
S1788,19,249,27,27
S1789,-17,280,28,28
S1790,-31~32,169~170,29,29
