no,lat,lon,first,last
N2943,/,/,1,1
N2944,/,/,1,1
N2948,/,/,1,3
N2949,/,/,1,2
N2950,/,/,1,8
N2951,7~13,12~20,2,14
N2952,14,151,3,13
N2953,0~1,106~109,3,13
N2954,15~18,302~310,8,8
N2955,11~14,4~6,14,14
N2956,9~16,233~245,14,22
N2957,21,296,19,19
N2958,13~15,229~238,19,23
N2959,7,182,21,21
N2960,3~5,119~121,21,31
N2961,1~10,132~141,25,31
N2962,5~10,109~111,25,28
N2963,7~8,101~106,31,31
N2964,9~17,2~18,31,31
S2249,/,/,1,8
S2250,2~3,86~88,2,3
S2251,2~3,15~26,8,8
S2252,7~12,352~0,8,14
S2253,10~11,295~296,8,14
S2254,12,347,14,14
S2255,7~8,324~326,14,14
S2256,7~10,239~242,14,23
S2257,8~12,223~233,14,23
S2258,21,260,18,19
S2259,11~12,209~211,19,19
S2260,12,275,21,21
S2261,5~6,238~239,22,23
S2262,19~20,206~207,22,22
S2263,1~4,102~107,23,29
S2264,9,184,25,26
S2265,9,164,25,25
S2266,12~17,81~90,25,31
S2267,7~8,150,26,26
S2268,14~15,69~74,26,31
S2269,15~20,55~67,28,31
S2270,5~7,86~87,31,31
S2271,2~4,22~30,31,31
