no,ns,lat
99,S,30
134,N,19
100,S,20
101,S,22
135,N,20
136,N,32~34
102,S,17
137,N,21~27
138,N,19~22
103,S,20~23
104,S,20
105,S,18~21
106,S,28~36
139,N,12~16
140,N,17~22
141,N,34
107,S,22
108,S,32
142,N,21~31
143,N,22~24
144,N,12
145,N,38
109,S,33
110,S,27
146,N,17~19
111,S,27~29
147,N,22
112,S,15~16
113,S,18
