no,lat,lon,first,last
N2535,/,/,1,1
N2536,/,/,1,1
N2537,/,/,1,6
N2539,/,/,1,5
N2540,25~28,65~74,2,9
N2541,8~12,53~57,5,15
N2542,14~20,88~93,6,12
N2543,7~10,88~92,6,12
N2544,12~17,357~12,8,16
N2545,5,68,12,13
N2546,8,340,12,13
N2547,15~16,268~275,14,16
N2548,0~3,275~285,21,24
N2549,15~17,262~267,21,21
N2550,19~20,216~224,21,24
N2551,23,209,23,23
N2552,8,231,24,24
N2553,10,194,27,27
N2554,17~19,129~141,27,30
N2555,10,128~130,27,30
N2556,10~12,56~58,30,30
S1834,/,/,1,1
S1835,/,/,1,1
S1839,/,/,1,13
S1840,-12,181~182,1,1
S1841,13,196,2,2
S1842,7~15,44~60,2,16
S1843,11,99,5,5
S1844,20,53,5,5
S1845,36,48,5,6
S1846,1~2,28~29,5,16
S1847,23,67,6,9
S1848,13,352,8,9
S1849,21~22,69~70,12,13
S1850,9~10,318~321,12,16
S1851,5~8,281~284,13,24
S1852,7~9,262~271,14,24
S1853,4,263,16,16
S1854,8~10,229~234,21,27
S1855,8~10,114~124,27,30
S1856,11~13,103~111,27,30
S1857,14~15,158~164,29,30
S1858,15,80,29,30
S1859,21~22,71~72,29,30
S1860,10~15,57~63,30,30
