no,lat,lon,first,last
N2200,/,/,1,2
N2201,/,/,1,6
N2204,/,/,1,2
N2207,14~19,94~101,2,8
N2208,16~21,84~89,2,10
N2209,23~26,145~156,6,8
N2210,3~5,99~110,6,12
N2211,14~15,111~115,6,8
N2212,15~17,15~17,12,12
N2213,18~24,309~323,12,19
N2214,3~4,296~298,15,15
N2215,15,292,15,15
N2216,12~18,232~246,17,29
N2217,18~11,224~226,25,26
N2218,26~29,152~156,25,31
N2219,11?,212?,26,26
N2220,3~5,117~125,27,31
N2221,14,191,28,28
N2222,14,127,30,30
S1514,/,/,1,6
S1516,10~14,5~15,8,18
S1517,12~14,88~91,10,13
S1518,17?,103~108,12,12
S1519,20,73,12,13
S1520,18,44,12,12
S1521,18~20,339~345,13,19
S1522,10,296,19,19
S1523,5~7,262~269,25,27
S1524,17~22,203~213,25,31
S1525,11~19,170~180,25,31
S1526,13~17,100~115,27,31
