no,ns,lat
1902,N,20~22
1903,S,20
1904,S,12
1905,N,13
1906,N,10
1907,N,20
1908,S,12
1909,S,10
1910,N,22
1911,N,21
1912,N,27
1913,S,11
1915,N,29
1916,N,9
1917,N,2
1918,N,18
1919,N,14~20
1920,S,19
1921,N,12
1922,N,16
1923,S,16
1924,N,12~16
1925,N,5
1926,S,20
1927,N,17
1928,S,4
1929,N,6~9
1930,N,11
1931,S,5
1932,N,18
1933,N,9
1934,S,14
1935,N,26
1936,S,20
1937,N,21
1938,N,29
1939,N,15~20
1940,N,26
1941,N,20~22
1942,N,15
1943,N,10~12
1944,S,7~10
1945,S,10
1946,N,8
1947,N,6
1948,S,12
1949,N,18
1950,N,30
1951,N,16
1952,S,4
1953,N,6
1954,N,10~12
1955,S,3
1956,N,16~18
1957,N,6
1958,N,19
1959,N,28
1960,S,18
1961,S,8
1962,S,7
1963,N,11
1964,N,21
1965,N,21
